Linux 3.19.0-56-generic (aegis) 	05.04.2016 	_x86_64_	(1 CPU)

20.34.46      UID       PID    %usr %system  %guest    %CPU   CPU  Command
20.34.47     1000      6208   98,02    0,00    0,00   98,02     0  node
20.34.48     1000      6208   99,00    0,00    0,00   99,00     0  node
20.34.49     1000      6208   99,00    0,00    0,00   99,00     0  node
20.34.50     1000      6208  100,00    0,00    0,00  100,00     0  node
20.34.51     1000      6208   99,00    0,00    0,00   99,00     0  node
20.34.52     1000      6208  100,00    0,00    0,00  100,00     0  node
20.34.53     1000      6208   99,00    0,00    0,00   99,00     0  node
20.34.54     1000      6208  100,00    0,00    0,00  100,00     0  node
20.34.55     1000      6208   99,00    0,00    0,00   99,00     0  node
20.34.56     1000      6208  101,01    0,00    0,00  101,01     0  node
Average:     1000      6208   99,40    0,00    0,00   99,40     -  node
