Linux 3.19.0-56-generic (aegis) 	05.04.2016 	_x86_64_	(1 CPU)

19.01.58      UID       PID    %usr %system  %guest    %CPU   CPU  Command
19.01.59     1000      5778   92,00    1,00    0,00   93,00     0  node
19.02.00     1000      5778   92,08    0,99    0,00   93,07     0  node
19.02.01     1000      5778   93,07    0,00    0,00   93,07     0  node
19.02.02     1000      5778   94,90    0,00    0,00   94,90     0  node
19.02.03     1000      5778   92,08    0,00    0,00   92,08     0  node
19.02.04     1000      5778   93,00    0,00    0,00   93,00     0  node
19.02.05     1000      5778   94,00    1,00    0,00   95,00     0  node
19.02.06     1000      5778   94,00    0,00    0,00   94,00     0  node
19.02.07     1000      5778   93,00    0,00    0,00   93,00     0  node
19.02.08     1000      5778   92,08    0,00    0,00   92,08     0  node
Average:     1000      5778   93,01    0,30    0,00   93,31     -  node
