Linux 3.19.0-56-generic (aegis) 	05.04.2016 	_x86_64_	(1 CPU)

19.00.52      UID       PID    %usr %system  %guest    %CPU   CPU  Command
19.00.53     1000      5784   92,08    0,99    0,00   93,07     0  node
19.00.54     1000      5784   95,96    0,00    0,00   95,96     0  node
19.00.55     1000      5784   92,00    1,00    0,00   93,00     0  node
19.00.56     1000      5784   94,95    0,00    0,00   94,95     0  node
19.00.57     1000      5784   94,00    0,00    0,00   94,00     0  node
19.00.58     1000      5784   92,08    0,00    0,00   92,08     0  node
19.00.59     1000      5784   93,00    0,00    0,00   93,00     0  node
19.01.00     1000      5784   92,00    0,00    0,00   92,00     0  node
19.01.01     1000      5784   93,07    0,00    0,00   93,07     0  node
19.01.02     1000      5784   93,00    0,00    0,00   93,00     0  node
Average:     1000      5784   93,21    0,20    0,00   93,41     -  node
