Linux 3.19.0-56-generic (aegis) 	05.04.2016 	_x86_64_	(1 CPU)

19.00.52      UID       PID  minflt/s  majflt/s     VSZ    RSS   %MEM  Command
19.00.53     1000      5784   3022,77      0,00 1234228 321088   8,63  node
19.00.54     1000      5784    524,24      0,00 1234228 323184   8,69  node
19.00.55     1000      5784     12,00      0,00 1234228 323184   8,69  node
19.00.56     1000      5784     49,49      0,00 1234228 323432   8,69  node
19.00.57     1000      5784     23,00      0,00 1235252 323432   8,69  node
19.00.58     1000      5784     32,67      0,00 1235252 323432   8,69  node
19.00.59     1000      5784     26,00      0,00 1235252 327788   8,81  node
19.01.00     1000      5784     25,00      0,00 1235252 327788   8,81  node
19.01.01     1000      5784     24,75      0,00 1235252 328044   8,82  node
19.01.02     1000      5784     24,00      0,00 1235252 328044   8,82  node
Average:     1000      5784    378,52      0,00 1234842 324942   8,73  node
