Linux 3.19.0-56-generic (aegis) 	05.04.2016 	_x86_64_	(1 CPU)

11.02.43      UID       PID  minflt/s  majflt/s     VSZ    RSS   %MEM  Command
11.02.44     1000      5778  10377,00      0,00  935232  56796   1,53  node
11.02.45     1000      5778   5319,00      0,00  949568  79228   2,13  node
11.02.46     1000      5778   3261,39      0,00  943424  72820   1,96  node
11.02.47     1000      5778   2321,21      0,00  933184  79876   2,15  node
11.02.48     1000      5778   3078,00      0,00  938304  84832   2,28  node
11.02.49     1000      5778   3849,50      0,00  933184  79860   2,15  node
11.02.50     1000      5778   1581,82      0,00  930112  76712   2,06  node
11.02.51     1000      5778   4362,38      0,00  943424  89244   2,40  node
11.02.52     1000      5778   3526,26      0,00  935232  81580   2,19  node
11.02.53     1000      5778   2660,00      0,00  938304  84992   2,28  node
Average:     1000      5778   4037,70      0,00  937997  78594   2,11  node
