Linux 3.19.0-56-generic (aegis) 	04.04.2016 	_x86_64_	(1 CPU)

16.32.50      UID       PID    %usr %system  %guest    %CPU   CPU  Command
16.32.51     1000      6208   98,99    0,00    0,00   98,99     0  node
16.32.52     1000      6208  100,00    0,00    0,00  100,00     0  node
16.32.53     1000      6208   99,01    0,00    0,00   99,01     0  node
16.32.54     1000      6208   99,00    0,00    0,00   99,00     0  node
16.32.55     1000      6208   97,00    0,00    0,00   97,00     0  node
16.32.56     1000      6208  100,00    0,00    0,00  100,00     0  node
16.32.57     1000      6208  100,00    0,00    0,00  100,00     0  node
16.32.58     1000      6208   99,00    0,00    0,00   99,00     0  node
16.32.59     1000      6208   98,00    0,00    0,00   98,00     0  node
16.33.00     1000      6208   99,00    0,00    0,00   99,00     0  node
Average:     1000      6208   99,00    0,00    0,00   99,00     -  node
