Linux 3.19.0-56-generic (aegis) 	04.04.2016 	_x86_64_	(1 CPU)

16.11.50      UID       PID  minflt/s  majflt/s     VSZ    RSS   %MEM  Command
16.11.51     1000      5778      0,00      0,00  938108  60284   1,62  node
16.11.52     1000      5778     52,53      0,00  938108  60548   1,63  node
16.11.53     1000      5778     20,00      0,00  938108  60516   1,63  node
16.11.54     1000      5778      2,97      0,00  938108  60516   1,63  node
16.11.55     1000      5778     87,76      0,00  938108  60460   1,63  node
16.11.56     1000      5778      3,96      0,00  938108  60452   1,62  node
16.11.57     1000      5778     74,00      0,00  938108  59688   1,60  node
16.11.58     1000      5778    124,75      0,00  938108  59872   1,61  node
16.11.59     1000      5778     41,00      0,00  938108  60132   1,62  node
16.12.00     1000      5778     36,63      0,00  938108  60132   1,62  node
Average:     1000      5778     44,26      0,00  938108  60260   1,62  node
