Linux 3.19.0-56-generic (aegis) 	04.04.2016 	_x86_64_	(1 CPU)

16.11.23      UID       PID  minflt/s  majflt/s     VSZ    RSS   %MEM  Command
16.11.24     1000      5784    334,34      0,00 1025332 119716   3,22  node
16.11.25     1000      5784    411,00      0,00 1026356 120052   3,23  node
16.11.26     1000      5784    471,29      0,00 1027380 121044   3,25  node
16.11.27     1000      5784    334,00      0,00 1027380 122224   3,29  node
16.11.28     1000      5784    491,92      0,00 1028404 123388   3,32  node
16.11.29     1000      5784    498,02      0,00 1029428 124320   3,34  node
16.11.30     1000      5784    451,49      0,00 1029428 124944   3,36  node
16.11.31     1000      5784    360,61      0,00 1030452 126348   3,40  node
16.11.32     1000      5784    293,14      0,00 1032500 127464   3,43  node
16.11.33     1000      5784    454,08      0,00 1033524 127908   3,44  node
Average:     1000      5784    409,90      0,00 1029018 123741   3,33  node
