Linux 3.19.0-56-generic (aegis) 	04.04.2016 	_x86_64_	(1 CPU)

20.43.56      UID       PID    %usr %system  %guest    %CPU   CPU  Command
20.43.57     1000      5784   94,00    1,00    0,00   95,00     0  node
20.43.58     1000      5784   92,08    0,00    0,00   92,08     0  node
20.43.59     1000      5784   93,94    0,00    0,00   93,94     0  node
20.44.00     1000      5784   92,00    0,00    0,00   92,00     0  node
20.44.01     1000      5784   92,08    0,99    0,00   93,07     0  node
20.44.02     1000      5784   93,00    0,00    0,00   93,00     0  node
20.44.03     1000      5784   92,00    0,00    0,00   92,00     0  node
20.44.04     1000      5784   93,00    1,00    0,00   94,00     0  node
20.44.05     1000      5784   93,00    0,00    0,00   93,00     0  node
20.44.06     1000      5784   91,09    0,00    0,00   91,09     0  node
Average:     1000      5784   92,61    0,30    0,00   92,91     -  node
