Linux 3.19.0-56-generic (aegis) 	04.04.2016 	_x86_64_	(1 CPU)

19.48.22      UID       PID  minflt/s  majflt/s     VSZ    RSS   %MEM  Command
19.48.23     1000      6208      0,00      0,00  762736  19424   0,52  node
19.48.24     1000      6208      0,00      0,00  762736  19424   0,52  node
19.48.25     1000      6208      0,00      0,00  762736  19424   0,52  node
19.48.26     1000      6208     72,00      0,00  762736  19688   0,53  node
19.48.27     1000      6208      0,00      0,00  762736  19688   0,53  node
19.48.28     1000      6208     97,00      0,00  763008  20216   0,54  node
19.48.29     1000      6208      0,00      0,00  763008  20216   0,54  node
19.48.30     1000      6208      0,00      0,00  763008  20216   0,54  node
19.48.31     1000      6208      0,00      0,00  763008  20216   0,54  node
19.48.32     1000      6208      0,00      0,00  763008  20216   0,54  node
Average:     1000      6208     16,90      0,00  762872  19873   0,53  node
