Linux 3.19.0-56-generic (aegis) 	04.04.2016 	_x86_64_	(1 CPU)

16.43.46      UID       PID  minflt/s  majflt/s     VSZ    RSS   %MEM  Command
16.43.47     1000      5778  11295,96      0,00  938108  66076   1,78  node
16.43.48     1000      5778   4527,72      0,00  956540  92440   2,48  node
16.43.49     1000      5778   2690,91      0,00  961660  97220   2,61  node
16.43.50     1000      5778   3407,92      0,00  942204  96044   2,58  node
16.43.51     1000      5778   3659,60      0,00  942204  96076   2,58  node
16.43.52     1000      5778   3615,00      0,00  944252  98124   2,64  node
16.43.53     1000      5778   2844,00      0,00  940156  94016   2,53  node
16.43.54     1000      5778   1574,00      0,00  937084  90900   2,44  node
16.43.55     1000      5778   4189,00      0,00  936060  90224   2,42  node
16.43.56     1000      5778   2220,00      0,00  940156  93860   2,52  node
Average:     1000      5778   3996,70      0,00  943842  91498   2,46  node
