Linux 3.19.0-56-generic (aegis) 	04.04.2016 	_x86_64_	(1 CPU)

16.40.03      UID       PID    %usr %system  %guest    %CPU   CPU  Command
16.40.04     1000      5784   95,05    1,98    0,00   97,03     0  node
16.40.05     1000      5784   99,00    0,00    0,00   99,00     0  node
16.40.06     1000      5784   97,98    0,00    0,00   97,98     0  node
16.40.07     1000      5784   98,02    0,99    0,00   99,01     0  node
16.40.08     1000      5784   98,98    0,00    0,00   98,98     0  node
16.40.09     1000      5784   97,03    0,99    0,00   98,02     0  node
16.40.10     1000      5784   96,00    2,00    0,00   98,00     0  node
16.40.11     1000      5784   99,00    1,00    0,00  100,00     0  node
16.40.12     1000      5784   96,04    0,00    0,00   96,04     0  node
16.40.13     1000      5784   98,99    2,02    0,00  101,01     0  node
Average:     1000      5784   97,60    0,90    0,00   98,50     -  node
