Linux 3.19.0-56-generic (aegis) 	05.04.2016 	_x86_64_	(1 CPU)

09.37.00      UID       PID    %usr %system  %guest    %CPU   CPU  Command
09.37.01     1000      5784   60,00    0,00    0,00   60,00     0  node
09.37.02     1000      5784   76,00    0,00    0,00   76,00     0  node
09.37.03     1000      5784   89,90    0,00    0,00   89,90     0  node
09.37.04     1000      5784   91,00    0,00    0,00   91,00     0  node
09.37.05     1000      5784   87,00    1,00    0,00   88,00     0  node
09.37.06     1000      5784   79,00    0,00    0,00   79,00     0  node
09.37.07     1000      5784   87,00    1,00    0,00   88,00     0  node
09.37.08     1000      5784   87,00    0,00    0,00   87,00     0  node
09.37.09     1000      5784   89,90    0,00    0,00   89,90     0  node
09.37.10     1000      5784   87,13    0,00    0,00   87,13     0  node
Average:     1000      5784   83,38    0,20    0,00   83,58     -  node
