Linux 3.19.0-56-generic (aegis) 	05.04.2016 	_x86_64_	(1 CPU)

09.45.19      UID       PID    %usr %system  %guest    %CPU   CPU  Command
09.45.20     1000      5778   93,00    2,00    0,00   95,00     0  node
09.45.21     1000      5778   93,00    0,00    0,00   93,00     0  node
09.45.22     1000      5778   87,00    1,00    0,00   88,00     0  node
09.45.23     1000      5778   14,29    1,02    0,00   15,31     0  node
09.45.24     1000      5778    0,00    0,00    0,00    0,00     0  node
09.45.25     1000      5778    0,00    0,00    0,00    0,00     0  node
09.45.26     1000      5778    0,00    0,00    0,00    0,00     0  node
09.45.27     1000      5778    0,00    0,00    0,00    0,00     0  node
09.45.28     1000      5778    0,00    0,00    0,00    0,00     0  node
09.45.29     1000      5778    0,00    0,00    0,00    0,00     0  node
Average:     1000      5778   29,08    0,41    0,00   29,48     -  node
