Linux 3.19.0-56-generic (aegis) 	05.04.2016 	_x86_64_	(1 CPU)

09.58.45      UID       PID  minflt/s  majflt/s     VSZ    RSS   %MEM  Command
09.58.46     1000      5784    433,33      0,00 1070388 155588   4,18  node
09.58.47     1000      5784    614,00      0,00 1071412 156960   4,22  node
09.58.48     1000      5784    384,00      0,00 1072436 157476   4,23  node
09.58.49     1000      5784    409,00      0,00 1072436 158000   4,25  node
09.58.50     1000      5784    495,96      0,00 1073460 158744   4,27  node
09.58.51     1000      5784    435,64      0,00 1074484 159564   4,29  node
09.58.52     1000      5784    323,00      0,00 1075508 160476   4,31  node
09.58.53     1000      5784    354,55      0,00 1075508 162056   4,36  node
09.58.54     1000      5784    315,84      0,00 1077556 163112   4,38  node
09.58.55     1000      5784    201,00      0,00 1078580 163904   4,41  node
Average:     1000      5784    396,50      0,00 1074177 159588   4,29  node
