Linux 3.19.0-56-generic (aegis) 	05.04.2016 	_x86_64_	(1 CPU)

11.05.53      UID       PID    %usr %system  %guest    %CPU   CPU  Command
11.05.54     1000      5828   99,00    0,00    0,00   99,00     0  java
11.05.55     1000      5828  100,00    0,00    0,00  100,00     0  java
11.05.56     1000      5828   99,00    0,00    0,00   99,00     0  java
11.05.57     1000      5828  100,00    0,00    0,00  100,00     0  java
11.05.58     1000      5828   99,00    0,00    0,00   99,00     0  java
11.05.59     1000      5828  100,00    0,00    0,00  100,00     0  java
11.06.00     1000      5828   99,00    0,00    0,00   99,00     0  java
11.06.01     1000      5828  100,00    0,00    0,00  100,00     0  java
11.06.02     1000      5828   99,00    0,00    0,00   99,00     0  java
11.06.03     1000      5828  100,00    0,00    0,00  100,00     0  java
Average:     1000      5828   99,50    0,00    0,00   99,50     -  java
