Linux 3.19.0-56-generic (aegis) 	05.04.2016 	_x86_64_	(1 CPU)

10.55.23      UID       PID    %usr %system  %guest    %CPU   CPU  Command
10.55.24     1000      5784   97,98    0,00    0,00   97,98     0  node
10.55.25     1000      5784   99,00    1,00    0,00  100,00     0  node
10.55.26     1000      5784   96,97    2,02    0,00   98,99     0  node
10.55.27     1000      5784   97,03    0,99    0,00   98,02     0  node
10.55.28     1000      5784   97,00    0,00    0,00   97,00     0  node
10.55.29     1000      5784   99,00    1,00    0,00  100,00     0  node
10.55.30     1000      5784   97,00    1,00    0,00   98,00     0  node
10.55.31     1000      5784   98,00    1,00    0,00   99,00     0  node
10.55.32     1000      5784   97,00    0,00    0,00   97,00     0  node
10.55.33     1000      5784   99,00    1,00    0,00  100,00     0  node
Average:     1000      5784   97,80    0,80    0,00   98,60     -  node
