Linux 3.19.0-56-generic (aegis) 	05.04.2016 	_x86_64_	(1 CPU)

10.55.23      UID       PID  minflt/s  majflt/s     VSZ    RSS   %MEM  Command
10.55.24     1000      5784   7972,00      0,00 1106228 196864   5,29  node
10.55.25     1000      5784   1733,33      0,00 1095988 197088   5,30  node
10.55.26     1000      5784   4636,00      0,00 1115444 215568   5,79  node
10.55.27     1000      5784   5683,00      0,00 1137972 254624   6,84  node
10.55.28     1000      5784   4863,37      0,00 1157428 274424   7,38  node
10.55.29     1000      5784   5584,85      0,00 1178932 296336   7,96  node
10.55.30     1000      5784   4725,00      0,00 1198388 315344   8,48  node
10.55.31     1000      5784   5109,00      0,00 1218868 335672   9,02  node
10.55.32     1000      5784   4904,00      0,00 1238324 355472   9,55  node
10.55.33     1000      5784   4799,01      0,00 1257780 374744  10,07  node
Average:     1000      5784   5003,30      0,00 1170535 281614   7,57  node
